FEEDER,CAPACITY
HC21,5500.0
HC22,5500.0
HC23,5500.0
HC24,5228.1
HC25,5366.4
HC26,4824.1
HC27,5500.0
HC28,5351.4
HC29,5394.3
HC30,5385.3
HC41,5146.9
HC42,4575.6
HC43,4896.8
HC44,5492.0
HC45,5456.9
HD21,5380.3
HD22,4530.3
HD23,5216.8
HD24,5252.9
HD26,5500.0
HD28,3695.7
HD29,3508.8
HD30,4038.0
HE21,5480.6
HE22,5352.7
HE23,1543.7
HE25,5212.9
HE26,0.0
HE27,814.6
HE28,5500.0
HE29,60.4
HE31,4289.8
HE32,4290.9
HE41,5128.8
HE42,839.6
HE43,5500.0
HE44,4840.4
HE45,5485.0
HE46,5165.4
HF20,4924.1
HF21,5093.4
HF22,5418.1
HF23,501.9
HF24,5128.4
HF30,5179.4
HF31,4846.3
HF32,5500.0
HF33,0.0
HF34,4526.9
HF55,2624.3
HF56,9795.7
HF57,4260.3
HF58,8823.4
HF59,11000.0
HF65,10960.8
HF66,10000.4
HF67,8201.4
HF68,4243.4
HF69,11000.0
HG21,4242.3
HG22,3607.1
HG23,5483.6
HG24,2848.7
HG25,5268.0
HG26,3956.8
HG27,5500.0
HG28,5116.9
HG29,4819.6
HG30,5240.2
HG41,5500.0
HG42,5318.8
HG43,5480.8
HG44,5500.0
HG45,3973.1
HH51,10980.7
HH52,11000.0
HH53,10749.7
HH54,11000.0
HH55,10991.6
HH56,10229.3
HH61,10900.2
HH62,9800.1
HH63,10604.7
HH64,10996.9
HH65,10453.6
HH66,11000.0
HH71,10903.3
HH72,10905.2
HH73,10991.5
HH74,10992.9
HH75,10982.0
HH76,10095.6
HI20,5500.0
HI21,5392.4
HI23,4342.1
HI24,4443.1
HI25,5399.1
HI27,4843.0
HI28,3880.0
HI29,4918.9
HI30,5174.0
HI31,5500.0
HI32,5469.6
HI33,5500.0
HI34,5500.0
HI35,4693.7
HI36,5282.6
HI37,4977.4
HI38,5500.0
HI39,5354.8
HJ51,10967.4
HJ52,10992.7
HJ53,10914.9
HJ54,10979.0
HJ55,10981.7
HJ56,11000.0
HJ61,9949.0
HJ62,10534.1
HJ63,10978.9
HJ64,11000.0
HJ65,10980.8
HJ66,9027.1
HJ71,10500.2
HJ72,10980.2
HJ73,10576.3
HJ74,11000.0
HJ75,10925.0
HJ76,11000.0
HK21,5199.3
HK22,5478.8
HK23,5500.0
HK24,5400.2
HK25,4648.9
HK26,5280.4
HK27,5113.0
HK28,5035.0
HK29,5234.1
HK31,5500.0
HK33,5341.2
HK34,5500.0
HK35,5480.2
HL21,5500.0
HL22,5480.1
HL25,5159.7
HL26,5500.0
HL27,5500.0
HL28,5500.0
HL29,5480.9
HL30,5277.3
HL31,5500.0
HL32,5500.0
HL33,5028.6
HL36,5480.6
HL37,5470.9
HM20,5255.8
HM21,5463.1
HM22,5238.2
HM23,5407.4
HM24,5216.0
HM25,5487.1
HM26,4774.0
HM27,5140.5
HM28,5389.8
HM29,5210.0
HM30,4825.6
HM31,4475.4
HM32,5260.0
HM33,5420.0
HM34,5457.0
HM35,4906.7
HM36,4564.9
HM37,5500.0
HM38,4781.3
HM39,5480.0
HM40,4867.7
HM41,5011.1
HM42,5420.3
HM43,5401.0
HM44,5409.5
HM45,4878.5
HM46,5347.0
HM47,5228.3
HM48,5350.8
HM49,5430.0
HN21,5500.0
HN22,5496.9
HN31,5500.0
HO22,3948.2
HO23,5500.0
HO31,5500.0
HP21,5261.1
HP22,5500.0
HP23,5378.9
HP25,5500.0
HP26,5478.6
HP27,5500.0
HP28,5500.0
HP29,3300.8
HP30,5500.0
HP31,5436.5
HP33,5500.0
HP35,5500.0
HP36,5470.4
HP37,5500.0
HP38,3622.8
HQ20,5500.0
HQ21,5480.0
HQ22,4778.6
HQ23,5415.1
HQ24,5340.8
HQ25,5248.6
HQ26,5500.0
HQ27,5392.8
HQ28,5192.0
HQ29,4257.0
HQ30,5500.0
HQ31,5447.2
HQ32,4535.6
HQ33,5163.7
HQ34,5038.5
HQ35,5500.0
HQ36,4646.4
HQ37,5482.8
HQ38,5163.9
HQ39,5371.4
HR21,5500.0
HR22,5500.0
HR23,5491.0
HR24,5494.1
HR25,5450.7
HR31,5461.7
HR32,5500.0
HR33,5468.0
HR34,5500.0
HR35,5487.4
HR50,11000.0
HR51,11000.0
HR52,10951.0
HR53,10848.2
HR54,10774.3
HR60,10986.4
HR61,10749.1
HR62,10287.8
HR63,10987.0
HR71,9461.0
HR72,11000.0
HR73,11000.0
HR74,10449.1
HR75,10342.5
HR76,11000.0
HR77,10985.0
HR78,11000.0
HS21,5308.5
HS22,4947.3
HS23,5228.8
HS24,4400.6
HS25,4706.2
HS33,5500.0
HS35,4180.6
HS36,4274.6
HS37,5500.0
HS38,4894.3
HS41,5139.5
HS42,5203.2
HS43,4216.4
HS44,3990.1
HS45,5429.3
HT31,5219.2
HT32,5489.2
HT33,5150.7
HT34,4897.0
HT36,5486.8
HT41,5500.0
HT42,5000.3
HT43,5500.0
HT44,5411.6
HT45,5500.0
HT46,5500.0
HT61,10974.7
HT62,10337.6
HT63,7888.9
HT64,10995.7
HT65,10638.3
HT66,10959.5
HT71,11000.0
HT72,11000.0
HT73,10924.7
HT75,10500.2
HT76,10756.2
HT77,10414.4
HT78,9963.0
HU21,5133.7
HU22,0.0
HU23,5166.8
HU24,930.3
