FEEDER,CAPACITY
﻿KN34,3126.8
﻿KN35,5483.2
﻿KN36,5074.3
﻿KN37,1180.0
﻿KN38,5437.3
﻿KN39,5491.7
﻿KN40,5184.4
﻿KN41,4857.5
﻿KN42,4432.6
﻿KN43,0.0
﻿KN44,4647.3
﻿KN45,0.0
﻿KP21,0.0
﻿KP22,0.0
﻿KQ21,4349.9
﻿KQ22,0.0
﻿KQ23,5181.9
﻿KQ24,5459.0
﻿KQ25,5094.3
﻿KQ26,5283.4
﻿KQ27,3892.9
﻿KQ28,3827.0
﻿KQ29,5310.0
﻿KQ30,4997.3
﻿KQ31,5500.0
﻿KQ32,5283.2
﻿KQ33,4842.1
﻿KQ34,5379.8
﻿KQ35,5112.5
﻿KQ36,4838.0
﻿KQ37,5358.6
﻿KQ38,5023.2
﻿KQ39,4825.8
﻿KQ40,4723.5
﻿KR21,4249.1
﻿KR23,5123.1
﻿KR24,4984.9
﻿KR25,4230.5
﻿KR26,4745.1
﻿KR27,4389.2
﻿KR29,5440.7
﻿KR30,0.0
﻿KR31,2240.0
﻿KR32,4562.4
﻿KR33,0.0
﻿KR35,4987.0
﻿KR36,0.0
﻿KR37,5030.2
﻿KR38,4714.1
﻿KR39,3719.4
﻿KR40,5215.2
﻿KR41,5500.0
﻿KR43,3032.2
﻿KR44,4662.8
﻿KR45,2219.8
﻿KS21,4382.9
﻿KS22,4926.1
﻿KS23,5153.0
﻿KS24,4716.1
﻿KS25,5439.2
﻿KS26,5337.5
﻿KS27,5397.5
﻿KS28,4969.8
﻿KS29,5500.0
﻿KS30,4961.7
﻿KS31,5438.3
﻿KS32,5159.0
﻿KS33,1225.3
﻿KS34,5490.1
﻿KS35,5219.9
﻿KT21,4522.3
﻿KT22,5470.2
﻿KT23,5255.3
﻿KT24,5260.3
﻿KT25,5456.6
﻿KT26,5500.0
﻿KT27,5458.1
﻿KT28,5193.7
﻿KT29,5202.5
﻿KT30,5351.1
﻿KT31,4785.5
﻿KT32,5480.0
﻿KT33,4938.4
﻿KT34,4480.0
﻿KT35,5096.7
﻿KT36,0.0
﻿KT37,3450.0
﻿KT38,4849.6
﻿KT39,5500.0
﻿KT40,5500.0
﻿KT71,9969.1
﻿KT72,10700.4
﻿KT73,11000.0
﻿KT74,11000.0
﻿KT76,10656.2
﻿KT77,10846.1
﻿KT78,11000.0
﻿KT79,9888.0
﻿KU51,11000.0
﻿KU52,10289.4
﻿KU53,10900.5
